Master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
1,,1989-1990,__export__.account_fiscalyear_451,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2512,4932,__export__.res_partner_6160,0,0,0
2,1977-1987,1977-1987,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2300,4934,__export__.res_partner_5762,0,0,0
3,1987-1990,1987-1990,,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2300,4934,__export__.res_partner_5762,0,0,0
5,,1993-1994,__export__.account_fiscalyear_455,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,71,2,__export__.res_partner_3020,0,0,0
8,1977-1984,1977-1984,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2341,4936,__export__.res_partner_5001,0,0,0
9,1984-1990,1984-1990,,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2341,4936,__export__.res_partner_5001,0,0,0
10,1990-1992,1990-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,36,6,__export__.res_partner_2847,0,0,0
11,1978-1984,1978-1984,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,4104,4938,__export__.res_partner_5770,0,0,0
14,,1986-1987,__export__.account_fiscalyear_448,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2602,4940,__export__.res_partner_3660,0,0,0
15,1987-1990,1987-1990,,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2602,4940,__export__.res_partner_3660,0,0,0
19,,1986-1987,__export__.account_fiscalyear_448,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2292,4941,__export__.res_partner_1446,0,0,0
20,1987-1990,1987-1990,,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2292,4941,__export__.res_partner_1446,0,0,0
21,1979-1985,1979-1985,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,74,7,__export__.res_partner_707,0,0,0
23,1981-1984,1981-1984,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,41,11,__export__.res_partner_6342,0,0,0
30,,1993-1994,__export__.account_fiscalyear_455,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,78,16,__export__.res_partner_661,0,0,0
31,1980-1993,1980-1993,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,79,21,__export__.res_partner_8081,0,0,0
33,1982-1987,1982-1987,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2372,4943,__export__.res_partner_7117,0,0,0
34,1987-1990,1987-1990,,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2372,4943,__export__.res_partner_7117,0,0,0
36,1969-1972,1969-1972,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2507,4944,__export__.res_partner_4329,0,0,0
37,1986-1992,1986-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,48,22,__export__.res_partner_5463,0,0,0
44,1974-1986,1974-1986,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2729,4947,__export__.res_partner_7062,0,0,0
45,1987-1990,1987-1990,,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2729,4947,__export__.res_partner_7062,0,0,0
48,1990-1993,1990-1993,,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2319,4948,__export__.res_partner_40,0,0,0
53,1974-1985,1974-1985,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2363,4953,__export__.res_partner_7885,0,0,0
54,1985-1989,1985-1989,,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2363,4953,__export__.res_partner_7885,0,0,0
80,1989-1992,1989-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,50,24,__export__.res_partner_69141,0,0,0
81,,1992-1993,__export__.account_fiscalyear_454,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,50,24,__export__.res_partner_69141,0,0,0
86,1989-1992,1989-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,104,32,__export__.res_partner_1663,0,0,0
87,1984-1987,1984-1987,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2296,4957,__export__.res_partner_3452,0,0,0
88,1987-1990,1987-1990,,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,2296,4957,__export__.res_partner_3452,0,0,0
89,1989-1992,1989-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,55,34,__export__.res_partner_3301,0,0,0
90,,1992-1993,__export__.account_fiscalyear_454,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,55,34,__export__.res_partner_3301,0,0,0
91,1986-1989,1986-1989,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,57,36,__export__.res_partner_2732,0,0,0
93,1989-1992,1989-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,62,40,__export__.res_partner_3599,0,0,0
95,,1992-1993,__export__.account_fiscalyear_454,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,62,40,__export__.res_partner_3599,0,0,0
99,1986-1989,1986-1989,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,109,45,__export__.res_partner_2662,0,0,0
101,1981-1992,1981-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,110,46,__export__.res_partner_4822,0,0,0
105,,1992-1993,__export__.account_fiscalyear_454,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,110,46,__export__.res_partner_4822,0,0,0
110,1989-1992,1989-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,87,47,__export__.res_partner_7695,0,0,0
111,,1992-1993,__export__.account_fiscalyear_454,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,87,47,__export__.res_partner_7695,0,0,0
112,1984-1992,1984-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,117,52,__export__.res_partner_508,0,0,0
118,1986-1992,1986-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,3,53,__export__.res_partner_4193,0,0,0
119,,1992-1993,__export__.account_fiscalyear_454,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,3,53,__export__.res_partner_4193,0,0,0
124,1989-1992,1989-1992,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,4,55,__export__.res_partner_3521,0,0,0
125,,1992-1993,__export__.account_fiscalyear_454,3/30/1995 0:00,1994-1995,__export__.account_fiscalyear_456,4,55,__export__.res_partner_3521,0,0,0
129,,1983-1984,__export__.account_fiscalyear_445,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,7,59,__export__.res_partner_4387,0,0,0
131,,1982-1983,__export__.account_fiscalyear_444,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,9,61,__export__.res_partner_614,0,0,0
132,1989-1991,1989-1991,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,5872,2432,__export__.res_partner_1221,0,0,0
134,1971-1993,1971-1993,,3/31/1995 0:00,1994-1995,__export__.account_fiscalyear_456,12,64,__export__.res_partner_3168,0,0,0
