approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,reg_no,requisiton_no,send,partner_id/id
TRUE,,TRUE,2010-02-25,0,2010-02-02,34.25,__export__.wakf_district_6,0,719.25,FALSE,685,255,0,TRUE,__export__.res_partner_7016
TRUE,__export__.account_fiscalyear_162,FALSE,,0,2010-02-02,523.65,__export__.wakf_district_6,0,10996.65,FALSE,10473,248,0,TRUE,__export__.res_partner_4816
TRUE,__export__.account_fiscalyear_163,FALSE,,0,2010-02-02,292.6,__export__.wakf_district_6,0,6144.6,FALSE,5852,251,0,TRUE,__export__.res_partner_2330
TRUE,__export__.account_fiscalyear_156,FALSE,,0,2010-02-03,384.1,__export__.wakf_district_6,0,8066.1,FALSE,7682,407,0,TRUE,__export__.res_partner_7935
TRUE,__export__.account_fiscalyear_160,FALSE,,0,2010-02-03,915,__export__.wakf_district_6,0,19215,FALSE,18300,416,0,TRUE,__export__.res_partner_7802
TRUE,__export__.account_fiscalyear_163,TRUE,2011-01-03,0,2010-02-03,297.9,__export__.wakf_district_6,0,6255.9,FALSE,5958,254,0,TRUE,__export__.res_partner_2627
TRUE,__export__.account_fiscalyear_160,TRUE,2010-03-09,0,2010-02-04,50.6,__export__.wakf_district_6,0,1062.6,FALSE,1012,4270,0,TRUE,__export__.res_partner_3292
TRUE,__export__.account_fiscalyear_160,FALSE,,0,2010-02-04,1462.1,__export__.wakf_district_6,0,30704.1,FALSE,29242,5390,0,TRUE,__export__.res_partner_4792
TRUE,,FALSE,,0,2010-02-04,17.185,__export__.wakf_district_6,0,360.885,FALSE,343.7,121,0,TRUE,__export__.res_partner_5657
TRUE,,FALSE,,0,2010-02-04,202.9,__export__.wakf_district_6,0,4260.9,FALSE,4058,241,0,TRUE,__export__.res_partner_476
TRUE,,TRUE,2010-08-05,0,2010-02-05,142.1,__export__.wakf_district_6,0,2984.1,FALSE,2842,239,0,TRUE,__export__.res_partner_5595
TRUE,,TRUE,2010-02-05,0,2010-02-05,249.1,__export__.wakf_district_6,0,5231.1,FALSE,4982,239,0,TRUE,__export__.res_partner_5595
TRUE,,FALSE,,0,2010-02-05,43.7,__export__.wakf_district_6,0,917.7,FALSE,874,318,0,TRUE,__export__.res_partner_5983
TRUE,__export__.account_fiscalyear_160,FALSE,,0,2010-02-05,105.8,__export__.wakf_district_6,0,2221.8,FALSE,2116,316,0,TRUE,__export__.res_partner_7475
TRUE,__export__.account_fiscalyear_163,FALSE,,0,2010-02-05,281.9,__export__.wakf_district_6,0,5919.9,FALSE,5638,310,0,TRUE,__export__.res_partner_3423
TRUE,,TRUE,2010-03-05,0,2010-02-06,52.55,__export__.wakf_district_6,0,1103.55,FALSE,1051,245,0,TRUE,__export__.res_partner_2307
TRUE,__export__.account_fiscalyear_154,FALSE,,0,2010-02-06,206.9,__export__.wakf_district_6,0,4344.9,FALSE,4138,315,0,TRUE,__export__.res_partner_4813
TRUE,,FALSE,,0,2010-02-08,592.25,__export__.wakf_district_6,0,12437.25,FALSE,11845,238,0,TRUE,__export__.res_partner_2031
TRUE,__export__.account_fiscalyear_154,FALSE,,0,2010-02-08,538.2,__export__.wakf_district_6,0,11302.2,FALSE,10764,433,0,TRUE,__export__.res_partner_2186
TRUE,__export__.account_fiscalyear_156,FALSE,,0,2010-02-08,1054.85,__export__.wakf_district_6,0,22151.85,FALSE,21097,4183,0,TRUE,__export__.res_partner_850
TRUE,__export__.account_fiscalyear_154,FALSE,,0,2010-02-09,65.9575,__export__.wakf_district_6,0,1385.1075,FALSE,1319.15,185,0,TRUE,__export__.res_partner_1893
TRUE,__export__.account_fiscalyear_160,FALSE,,0,2010-02-09,460.7,__export__.wakf_district_6,0,9674.7,FALSE,9214,185,0,TRUE,__export__.res_partner_1893
TRUE,,FALSE,,0,2010-02-10,30.975,__export__.wakf_district_6,0,650.475,FALSE,619.5,256,0,TRUE,__export__.res_partner_1847
