master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
2,,2008-2009,__export__.account_fiscalyear_185,2013-05-01,2009-2010,__export__.account_fiscalyear_186,2297,4726,__export__.res_partner_8431,0,0,0
3,,2009-2010,__export__.account_fiscalyear_186,2013-05-01,2010-2011,__export__.account_fiscalyear_187,2297,4726,__export__.res_partner_8431,0,0,0
4,,2012-2013,__export__.account_fiscalyear_189,2013-05-01,2013-2014,__export__.account_fiscalyear_190,2297,4726,__export__.res_partner_8431,0,0,0
5,,2007-2008,__export__.account_fiscalyear_184,2009-11-17,2009-2010,__export__.account_fiscalyear_186,2297,4726,__export__.res_partner_8431,0,0,0
7,,1996-1997,__export__.account_fiscalyear_173,2001-03-31,2000-2001,__export__.account_fiscalyear_177,5545,3565,__export__.res_partner_4179,0,0,0
8,,2004-2005,__export__.account_fiscalyear_181,2006-02-04,2005-2006,__export__.account_fiscalyear_182,5545,3565,__export__.res_partner_4179,0,0,0
9,,2008-2009,__export__.account_fiscalyear_185,2010-04-05,2010-2011,__export__.account_fiscalyear_187,5545,3565,__export__.res_partner_4179,0,0,0
10,,2009-2010,__export__.account_fiscalyear_186,2010-05-27,2010-2011,__export__.account_fiscalyear_187,5545,3565,__export__.res_partner_4179,0,0,0
11,,2006-2007,__export__.account_fiscalyear_183,2013-01-04,2007-2008,__export__.account_fiscalyear_184,260,7149,__export__.res_partner_2731,0,0,0
12,,2007-2008,__export__.account_fiscalyear_184,2013-01-04,2008-2009,__export__.account_fiscalyear_185,260,7149,__export__.res_partner_2731,0,0,0
13,,2008-2009,__export__.account_fiscalyear_185,2013-01-04,2009-2010,__export__.account_fiscalyear_186,260,7149,__export__.res_partner_2731,0,0,0
14,,2009-2010,__export__.account_fiscalyear_186,2013-01-04,2010-2011,__export__.account_fiscalyear_187,260,7149,__export__.res_partner_2731,0,0,0
