approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,reg_no,requisiton_no,send,partner_id/id
TRUE,__export__.account_fiscalyear_177,FALSE,,0,2013-07-25,20.95,__export__.wakf_district_6,0,439.95,FALSE,419,3523,0,TRUE,__export__.res_partner_6689
TRUE,__export__.account_fiscalyear_182,FALSE,,0,2013-07-25,42,__export__.wakf_district_6,0,882,FALSE,840,3571,0,TRUE,__export__.res_partner_3332
TRUE,__export__.account_fiscalyear_186,FALSE,,0,2013-07-27,6181.2,__export__.wakf_district_6,0,129805.2,FALSE,123624,3565,0,TRUE,__export__.res_partner_4179
TRUE,__export__.account_fiscalyear_188,FALSE,,0,2013-07-27,471.55,__export__.wakf_district_6,0,9902.55,FALSE,9431,3559,0,TRUE,__export__.res_partner_2690
TRUE,__export__.account_fiscalyear_179,FALSE,,0,2013-07-27,33.95,__export__.wakf_district_6,0,712.95,FALSE,679,3531,0,TRUE,__export__.res_partner_4056
TRUE,__export__.account_fiscalyear_179,FALSE,,0,2013-07-27,139.55,__export__.wakf_district_6,0,2930.55,FALSE,2791,3545,0,TRUE,__export__.res_partner_6012
TRUE,__export__.account_fiscalyear_187,FALSE,,0,2013-07-29,506.55,__export__.wakf_district_6,0,10637.55,FALSE,10131,7159,0,TRUE,__export__.res_partner_2072
TRUE,__export__.account_fiscalyear_188,FALSE,,0,2013-07-29,579.6,__export__.wakf_district_6,0,12171.6,FALSE,11592,6248,0,TRUE,__export__.res_partner_2959
TRUE,__export__.account_fiscalyear_189,FALSE,,0,2013-07-29,787.7,__export__.wakf_district_6,0,16541.7,FALSE,15754,3546,0,TRUE,__export__.res_partner_2766
TRUE,__export__.account_fiscalyear_179,FALSE,,0,2013-07-29,264.413,__export__.wakf_district_6,0,5552.673,FALSE,5288.26,3553,0,TRUE,__export__.res_partner_2208
TRUE,__export__.account_fiscalyear_179,FALSE,,0,2013-07-29,0.75,__export__.wakf_district_6,0,15.75,FALSE,15,3562,0,TRUE,__export__.res_partner_5934
TRUE,__export__.account_fiscalyear_189,FALSE,,0,2013-07-29,641.95,__export__.wakf_district_6,0,13480.95,FALSE,12839,3562,0,TRUE,__export__.res_partner_5934
TRUE,__export__.account_fiscalyear_188,FALSE,,0,2013-07-29,766.357,__export__.wakf_district_6,0,16093.497,FALSE,15327.14,3549,0,TRUE,__export__.res_partner_3563
