master_id,temp_acc_year,acc_year/id,date_from,assess_year/id,name,wakf_id/id,line_1,line_2,line_3
1,,__export__.account_fiscalyear_55,10/4/2012,__export__.account_fiscalyear_56,817,__export__.res_partner_3205,,,
2,,__export__.account_fiscalyear_56,7/29/2013,__export__.account_fiscalyear_57,817,__export__.res_partner_3205,,,
3,,__export__.account_fiscalyear_55,10/25/2013,__export__.account_fiscalyear_57,818,__export__.res_partner_7825,,,
4,,__export__.account_fiscalyear_56,10/25/2013,__export__.account_fiscalyear_57,818,__export__.res_partner_7825,,,
5,,__export__.account_fiscalyear_54,12/24/2011,__export__.account_fiscalyear_55,819,__export__.res_partner_380,,,
6,,__export__.account_fiscalyear_55,7/30/2012,__export__.account_fiscalyear_56,819,__export__.res_partner_380,,,
7,,__export__.account_fiscalyear_56,7/9/2013,__export__.account_fiscalyear_57,819,__export__.res_partner_380,,,
8,,__export__.account_fiscalyear_50,6/5/2007,__export__.account_fiscalyear_51,824,__export__.res_partner_5067,,,
9,,__export__.account_fiscalyear_51,6/3/2008,__export__.account_fiscalyear_52,824,__export__.res_partner_5067,,,
10,,__export__.account_fiscalyear_55,9/18/2012,__export__.account_fiscalyear_56,824,__export__.res_partner_5067,,,
11,,__export__.account_fiscalyear_56,4/20/2013,__export__.account_fiscalyear_57,824,__export__.res_partner_5067,,,
12,,__export__.account_fiscalyear_55,2/15/2013,__export__.account_fiscalyear_56,831,__export__.res_partner_5301,,,
13,,__export__.account_fiscalyear_56,7/5/2013,__export__.account_fiscalyear_57,831,__export__.res_partner_5301,,,
14,,__export__.account_fiscalyear_55,11/6/2012,__export__.account_fiscalyear_56,836,__export__.res_partner_424,,,
15,,__export__.account_fiscalyear_56,7/4/2013,__export__.account_fiscalyear_57,836,__export__.res_partner_424,,,
16,,__export__.account_fiscalyear_55,7/30/2012,__export__.account_fiscalyear_56,628,__export__.res_partner_6707,,,
17,,__export__.account_fiscalyear_55,6/7/2012,__export__.account_fiscalyear_56,838,__export__.res_partner_2548,,,
18,,__export__.account_fiscalyear_56,6/19/2013,__export__.account_fiscalyear_57,838,__export__.res_partner_2548,,,
19,,__export__.account_fiscalyear_55,5/25/2012,__export__.account_fiscalyear_56,839,__export__.res_partner_6479,,,
20,,__export__.account_fiscalyear_56,8/14/2013,__export__.account_fiscalyear_57,839,__export__.res_partner_6479,,,
21,,__export__.account_fiscalyear_55,2/15/2013,__export__.account_fiscalyear_56,840,__export__.res_partner_805,,,
22,,__export__.account_fiscalyear_56,11/15/2013,__export__.account_fiscalyear_57,840,__export__.res_partner_805,,,
23,,__export__.account_fiscalyear_55,8/3/2012,__export__.account_fiscalyear_56,654,__export__.res_partner_5347,,,
25,,__export__.account_fiscalyear_56,6/26/2013,__export__.account_fiscalyear_57,654,__export__.res_partner_5347,,,
26,,__export__.account_fiscalyear_54,8/20/2011,__export__.account_fiscalyear_55,841,__export__.res_partner_8347,,,
27,,__export__.account_fiscalyear_55,6/29/2012,__export__.account_fiscalyear_56,841,__export__.res_partner_8347,,,
28,,__export__.account_fiscalyear_56,11/21/2013,__export__.account_fiscalyear_57,841,__export__.res_partner_8347,,,
29,,__export__.account_fiscalyear_55,9/18/2012,__export__.account_fiscalyear_56,842,__export__.res_partner_2853,,,
30,,__export__.account_fiscalyear_56,5/31/2013,__export__.account_fiscalyear_57,842,__export__.res_partner_2853,,,
31,,__export__.account_fiscalyear_55,2/15/2013,__export__.account_fiscalyear_56,708,__export__.res_partner_1190,,,
32,,__export__.account_fiscalyear_56,7/5/2013,__export__.account_fiscalyear_57,708,__export__.res_partner_1190,,,
33,,__export__.account_fiscalyear_54,12/24/2011,__export__.account_fiscalyear_55,844,__export__.res_partner_5903,,,
34,,__export__.account_fiscalyear_54,2/21/2012,__export__.account_fiscalyear_55,709,__export__.res_partner_2456,,,
35,,__export__.account_fiscalyear_55,11/16/2013,__export__.account_fiscalyear_57,709,__export__.res_partner_2456,,,
36,,__export__.account_fiscalyear_56,11/16/2013,__export__.account_fiscalyear_57,709,__export__.res_partner_2456,,,
37,,__export__.account_fiscalyear_53,2/4/2013,__export__.account_fiscalyear_56,710,__export__.res_partner_5920,,,
38,,__export__.account_fiscalyear_54,2/4/2013,__export__.account_fiscalyear_56,710,__export__.res_partner_5920,,,
39,,__export__.account_fiscalyear_55,2/4/2013,__export__.account_fiscalyear_56,710,__export__.res_partner_5920,,,
40,,__export__.account_fiscalyear_56,4/23/2013,__export__.account_fiscalyear_57,710,__export__.res_partner_5920,,,
41,,__export__.account_fiscalyear_55,6/29/2012,__export__.account_fiscalyear_56,845,__export__.res_partner_6827,,,
42,,__export__.account_fiscalyear_56,6/22/2013,__export__.account_fiscalyear_57,845,__export__.res_partner_6827,,,
