Master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
1,,2012-2013,__export__.account_fiscalyear_246,2013-07-19,2013-2014,__export__.account_fiscalyear_247,2832,3982,__export__.res_partner_2089,0,0,0
2,1982-1998,1982-1998,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,4891,4180,__export__.res_partner_6323,0,0,0
3,1989-1999,1989-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,3076,3722,__export__.res_partner_3573,0,0,0
4,,2011-2012,__export__.account_fiscalyear_245,2012-10-01,2012-2013,__export__.account_fiscalyear_246,2935,3828,__export__.res_partner_8082,0,0,0
5,,2012-2013,__export__.account_fiscalyear_246,2013-09-04,2013-2014,__export__.account_fiscalyear_247,2935,3828,__export__.res_partner_8082,0,0,0
6,,2012-2013,__export__.account_fiscalyear_246,2013-10-08,2013-2014,__export__.account_fiscalyear_247,2976,3882,__export__.res_partner_6729,0,0,0
7,,2012-2013,__export__.account_fiscalyear_246,2013-07-27,2013-2014,__export__.account_fiscalyear_247,1142,6830,__export__.res_partner_5044,0,0,0
8,1997-1999,1997-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,1169,6835,__export__.res_partner_3415,0,0,0
9,1997-1999,1997-1999,,2001-03-01,2000-2001,__export__.account_fiscalyear_234,1146,6826,__export__.res_partner_7151,0,0,0
10,,2010-2011,__export__.account_fiscalyear_244,2011-06-10,2011-2012,__export__.account_fiscalyear_245,1935,6824,__export__.res_partner_1311,0,0,0
11,1997-1999,1997-1999,,2001-03-01,2000-2001,__export__.account_fiscalyear_234,1170,6837,__export__.res_partner_1606,0,0,0
12,1997-1999,1997-1999,,2001-03-30,2000-2001,__export__.account_fiscalyear_234,1161,6833,__export__.res_partner_5066,0,0,0
13,1997-1999,1997-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,1149,6880,__export__.res_partner_4112,0,0,0
14,1997-1999,1997-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,1226,6840,__export__.res_partner_7570,0,0,0
15,,2001-2002,__export__.account_fiscalyear_235,2002-12-10,2002-2003,__export__.account_fiscalyear_236,1013,6882,__export__.res_partner_5298,0,0,0
16,,2012-2013,__export__.account_fiscalyear_246,2013-07-22,2013-2014,__export__.account_fiscalyear_247,1066,6879,__export__.res_partner_5179,0,0,0
17,,2006-2007,__export__.account_fiscalyear_240,2009-03-28,2007-2008,__export__.account_fiscalyear_241,1050,6838,__export__.res_partner_7308,0,0,0
18,,2007-2008,__export__.account_fiscalyear_241,2009-03-28,2008-2009,__export__.account_fiscalyear_242,1050,6838,__export__.res_partner_7308,0,0,0
19,,2011-2012,__export__.account_fiscalyear_245,2012-09-25,2012-2013,__export__.account_fiscalyear_246,1050,6838,__export__.res_partner_7308,0,0,0
21,1997-1999,1997-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,1202,6846,__export__.res_partner_6535,0,0,0
22,,2001-2002,__export__.account_fiscalyear_235,2002-12-30,2002-2003,__export__.account_fiscalyear_236,1202,6846,__export__.res_partner_6535,0,0,0
23,,2002-2003,__export__.account_fiscalyear_236,2004-05-13,2004-2005,__export__.account_fiscalyear_238,1202,6846,__export__.res_partner_6535,0,0,0
24,,2004-2005,__export__.account_fiscalyear_238,2007-06-26,2007-2008,__export__.account_fiscalyear_241,1202,6846,__export__.res_partner_6535,0,0,0
25,,1998-1999,__export__.account_fiscalyear_232,2001-03-31,2000-2001,__export__.account_fiscalyear_234,1190,6847,__export__.res_partner_7535,0,0,0
26,,2012-2013,__export__.account_fiscalyear_246,2013-12-10,2013-2014,__export__.account_fiscalyear_247,1204,6961,__export__.res_partner_5650,0,0,0
