approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,reg_no,requisiton_no,send,partner_id/id
TRUE,__export__.account_fiscalyear_244,FALSE,,0,2014-04-21,1605.0425,__export__.wakf_district_6,0,33705.8925,FALSE,32100.85,4180,0,TRUE,__export__.res_partner_6323
TRUE,__export__.account_fiscalyear_244,FALSE,,0,2014-04-22,511.15,__export__.wakf_district_6,0,10734.15,FALSE,10223,6835,0,TRUE,__export__.res_partner_3415
TRUE,__export__.account_fiscalyear_243,FALSE,,0,2014-04-22,426.2,__export__.wakf_district_6,0,8950.2,FALSE,8524,6826,0,TRUE,__export__.res_partner_7151
TRUE,__export__.account_fiscalyear_244,FALSE,,0,2014-04-22,511.15,__export__.wakf_district_6,0,10734.15,FALSE,10223,6826,0,TRUE,__export__.res_partner_7151
TRUE,__export__.account_fiscalyear_245,FALSE,,0,2014-04-22,613.1,__export__.wakf_district_6,0,12875.1,FALSE,12262,6826,0,TRUE,__export__.res_partner_7151
TRUE,__export__.account_fiscalyear_243,FALSE,,0,2014-04-22,426.2,__export__.wakf_district_6,0,8950.2,FALSE,8524,6837,0,TRUE,__export__.res_partner_1606
TRUE,__export__.account_fiscalyear_244,FALSE,,0,2014-04-22,511.15,__export__.wakf_district_6,0,10734.15,FALSE,10223,6837,0,TRUE,__export__.res_partner_1606
TRUE,__export__.account_fiscalyear_243,FALSE,,0,2014-04-22,942.35,__export__.wakf_district_6,0,19789.35,FALSE,18847,6833,0,TRUE,__export__.res_partner_5066
TRUE,__export__.account_fiscalyear_244,FALSE,,0,2014-04-22,1170.45,__export__.wakf_district_6,0,24579.45,FALSE,23409,6833,0,TRUE,__export__.res_partner_5066
TRUE,__export__.account_fiscalyear_245,FALSE,,0,2014-04-22,1455.55,__export__.wakf_district_6,0,30566.55,FALSE,29111,6833,0,TRUE,__export__.res_partner_5066
TRUE,__export__.account_fiscalyear_241,FALSE,,0,2010-01-22,426.2,__export__.wakf_district_6,0,8950.2,FALSE,8524,6880,0,TRUE,__export__.res_partner_4112
TRUE,__export__.account_fiscalyear_241,FALSE,,0,2010-11-25,511.2,__export__.wakf_district_6,0,10735.2,FALSE,10224,6880,0,TRUE,__export__.res_partner_4112
TRUE,__export__.account_fiscalyear_241,FALSE,,0,2011-05-02,613.15,__export__.wakf_district_6,0,12876.15,FALSE,12263,6880,0,TRUE,__export__.res_partner_4112
TRUE,__export__.account_fiscalyear_243,FALSE,,0,2010-01-23,426.2,__export__.wakf_district_6,0,8950.2,FALSE,8524,6840,0,TRUE,__export__.res_partner_7570
TRUE,__export__.account_fiscalyear_243,FALSE,,0,2011-04-29,613.1,__export__.wakf_district_6,0,12875.1,FALSE,12262,6840,0,TRUE,__export__.res_partner_7570
TRUE,__export__.account_fiscalyear_243,FALSE,,0,2010-11-24,511.15,__export__.wakf_district_6,0,10734.15,FALSE,10223,6840,0,TRUE,__export__.res_partner_7570
TRUE,__export__.account_fiscalyear_243,FALSE,,0,2010-01-20,118,__export__.wakf_district_6,0,2478,FALSE,2360,7169,0,TRUE,__export__.res_partner_5124
