reg_no,partner_id/id,approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,requisiton_no,send
2337,__export__.res_partner_2914,TRUE,__export__.account_fiscalyear_228,FALSE,,0,2013-08-29,1212,__export__.wakf_district_2,B2-2337/RA,25445,FALSE,24233,0,FALSE
2526,__export__.res_partner_6662,FALSE,__export__.account_fiscalyear_228,FALSE,,1/13/2014,2013-08-30,890,__export__.wakf_district_2,B2-2526/RA,18682,FALSE,17792,1/13/2014,FALSE
1647,__export__.res_partner_3540,FALSE,__export__.account_fiscalyear_228,FALSE,,8/13/2014,2013-09-04,828,__export__.wakf_district_2,B1-1647/RA,17384,FALSE,16556,8/13/2014,TRUE
4031,__export__.res_partner_4293,FALSE,__export__.account_fiscalyear_228,FALSE,,9/13/2014,2013-09-05,527,__export__.wakf_district_2,B2-4031/RA,11065,FALSE,10538,9/13/2014,FALSE
4810,__export__.res_partner_5644,FALSE,__export__.account_fiscalyear_228,FALSE,,10/13/2014,2013-09-06,1264,__export__.wakf_district_2,b-4810/RA,26550,FALSE,25286,10/13/2014,FALSE
7331,__export__.res_partner_2508,FALSE,__export__.account_fiscalyear_228,FALSE,,11/13/2014,2013-09-25,614,__export__.wakf_district_2,B1-7331/RA,12897,FALSE,12283,11/13/2014,TRUE
5833,__export__.res_partner_8421,FALSE,__export__.account_fiscalyear_228,FALSE,,12/13/2014,2013-09-28,979,__export__.wakf_district_7,B2-5833/RA,20554,FALSE,19575,12/13/2014,FALSE
5762,__export__.res_partner_1595,FALSE,__export__.account_fiscalyear_228,FALSE,,13/13-14,2013-09-28,916,__export__.wakf_district_7,B2-5762/RA,19245,FALSE,18329,13/13-14,FALSE
6813,__export__.res_partner_4495,FALSE,__export__.account_fiscalyear_228,FALSE,,14/13-14,2013-09-28,1487,__export__.wakf_district_7,B2-6813/RA,31222,FALSE,29735,14/13-14,FALSE
1823,__export__.res_partner_8322,FALSE,__export__.account_fiscalyear_228,FALSE,,15/13-14,2013-10-08,584,__export__.wakf_district_2,B1-1823/RA,12274,FALSE,11690,15/13-14,FALSE
5822,__export__.res_partner_3171,FALSE,__export__.account_fiscalyear_228,FALSE,,16/13-14,2013-11-12,1633,__export__.wakf_district_7,b-5822/RA,34287,FALSE,32654,16/13-14,FALSE
7279,__export__.res_partner_615,TRUE,__export__.account_fiscalyear_225,FALSE,,0,2013-11-15,1125,__export__.wakf_district_6,0,23625,FALSE,22500,0,TRUE
7279,__export__.res_partner_615,TRUE,__export__.account_fiscalyear_224,FALSE,,0,2013-11-15,1125,__export__.wakf_district_6,0,23625,FALSE,22500,0,TRUE
7279,__export__.res_partner_615,TRUE,__export__.account_fiscalyear_224,FALSE,,0,2013-11-15,3581.7,__export__.wakf_district_6,0,75215.7,FALSE,71634,0,TRUE
1936,__export__.res_partner_4504,FALSE,__export__.account_fiscalyear_228,FALSE,,17/13-14,2013-11-16,760,__export__.wakf_district_2,B1-1936/RA,15954,FALSE,15194,17/13-14,FALSE
2889,__export__.res_partner_3584,FALSE,__export__.account_fiscalyear_228,FALSE,,18/13-14,2013-11-25,593,__export__.wakf_district_7,b-2889/RA,12462,FALSE,11869,18/13-14,FALSE
4548,__export__.res_partner_1119,FALSE,__export__.account_fiscalyear_228,FALSE,,19/13-14,2013-11-25,842,__export__.wakf_district_7,b-4548/RA,17675,FALSE,16833,19/13-14,FALSE
5672,__export__.res_partner_4957,FALSE,__export__.account_fiscalyear_228,FALSE,,20/13-14,2013-11-25,625,__export__.wakf_district_7,b-5672/RA,13129,FALSE,12504,20/13-14,FALSE
6238,__export__.res_partner_693,FALSE,__export__.account_fiscalyear_228,FALSE,,21/13-14,2013-11-26,836,__export__.wakf_district_7,b-6238/RA,17556,FALSE,16720,21/13-14,TRUE
7762,__export__.res_partner_2150,FALSE,__export__.account_fiscalyear_228,FALSE,,24/13-14,2013-11-28,1073,__export__.wakf_district_7,b-7762/RA,22531,FALSE,21458,24/13-14,FALSE
5840,__export__.res_partner_5865,FALSE,__export__.account_fiscalyear_228,FALSE,,25/13-14,2013-11-28,1027,__export__.wakf_district_7,b-5840/RA,21567,FALSE,20540,25/13-14,FALSE
2640,__export__.res_partner_7737,FALSE,__export__.account_fiscalyear_228,FALSE,,26/13-14,2013-11-28,736,__export__.wakf_district_7,b-2640/RA,15458,FALSE,14722,26/13-14,FALSE
6683,__export__.res_partner_6220,FALSE,__export__.account_fiscalyear_228,FALSE,,27/13-14,2013-12-03,411,__export__.wakf_district_2,B1-6683/RA,8635,FALSE,8224,27/13-14,FALSE
